Level from,Cost,Diff réelle,Cumul
0,0,,0
1,100,100,100
2,200,100,300
3,300,100,600
4,400,100,1000
5,600,200,1600
6,800,200,2400
7,1000,200,3400
8,1200,200,4600
9,1400,200,6000
10,1700,300,7700
11,2000,300,9700
12,2300,300,12000
13,2600,300,14600
14,2900,300,17500
15,3200,300,20700
16,3500,300,24200
17,3800,300,28000
18,4100,300,32100
19,4400,300,36500
20,4700,300,41200
21,5000,300,46200
22,5500,500,51700
23,6000,500,57700
24,6500,500,64200
25,7000,500,71200
26,7500,500,78700
27,8000,500,86700
28,8500,500,95200
29,9000,500,104200
