Lvl from,Lvl to,Cost,Diff réelle,Cumul
0,1,0,,0
1,2,100,100,100
2,3,200,100,300
3,4,300,100,600
4,5,400,100,1000
5,6,500,100,1500
6,7,600,100,2100
7,8,700,100,2800
8,9,800,100,3600
9,10,900,100,4500
10,11,1000,100,5500
11,12,1100,100,6600
12,13,1200,100,7800
13,14,1300,100,9100
14,15,1400,100,10500
15,16,1600,200,12100
16,17,1800,200,13900
17,18,2000,200,15900
18,19,2200,200,18100
19,20,2400,200,20500
20,21,2700,300,23200
21,22,3000,300,26200
22,23,3500,500,29700
23,24,4000,500,33700
24,25,5000,1000,38700
25,26,6000,1000,44700
26,27,7000,1000,51700
27,28,8000,1000,59700
28,29,9000,1000,68700
29,30,10000,1000,78700
30,31,11000,1000,89700
31,32,12000,1000,101700
32,33,13000,1000,114700
33,34,14000,1000,128700
34,35,15000,1000,143700
35,36,16000,1000,159700
36,37,17000,1000,176700
37,38,18000,1000,194700
38,39,19000,1000,213700
39,40,20000,1000,233700
40,41,21000,1000,254700
41,42,22000,1000,276700
42,43,23000,1000,299700
43,44,24000,1000,323700
44,45,25000,1000,348700
45,46,26000,1000,374700
46,47,27000,1000,401700
47,48,28000,1000,429700
48,49,29000,1000,458700
49,50,30000,1000,488700
50,51,32000,2000,520700
51,52,34000,2000,554700
52,53,36000,2000,590700
53,54,38000,2000,628700
54,55,40000,2000,668700
55,56,42000,2000,710700
56,57,44000,2000,754700
57,58,46000,2000,800700
58,59,48000,2000,848700
59,60,50000,2000,898700
60,61,53000,3000,951700
61,62,56000,3000,1007700
62,63,59000,3000,1066700
63,64,62000,3000,1128700
64,65,65000,3000,1193700
65,66,68000,3000,1261700
66,67,71000,3000,1332700
67,68,74000,3000,1406700
68,69,77000,3000,1483700
69,70,80000,3000,1563700
70,71,84000,4000,1647700
71,72,88000,4000,1735700
72,73,92000,4000,1827700
73,74,96000,4000,1923700
74,75,100000,4000,2023700
75,76,104000,4000,2127700
76,77,108000,4000,2235700
77,78,112000,4000,2347700
78,79,116000,4000,2463700
79,80,120000,4000,2583700
80,81,125000,5000,2708700
81,82,130000,5000,2838700
82,83,135000,5000,2973700
83,84,140000,5000,3113700
84,85,145000,5000,3258700
85,86,150000,5000,3408700
86,87,155000,5000,3563700
87,88,160000,5000,3723700
88,89,165000,5000,3888700
89,90,170000,5000,4058700
90,91,175000,5000,4233700
91,92,180000,5000,4413700
92,93,185000,5000,4598700
93,94,190000,5000,4788700
94,95,195000,5000,4983700
95,96,200000,5000,5183700
96,97,205000,5000,5388700
97,98,210000,5000,5598700
98,99,215000,5000,5813700
99,100,220000,5000,6033700
100,101,240000,20000,6273700
101,102,260000,20000,6533700
102,103,280000,20000,6813700
103,104,300000,20000,7113700
104,105,320000,20000,7433700
105,106,340000,20000,7773700
106,107,360000,20000,8133700
107,108,380000,20000,8513700
108,109,400000,20000,8913700
109,110,420000,20000,9333700
110,111,458000,38000,9791700
111,112,496000,38000,10287700
112,113,534000,38000,10821700
113,114,572000,38000,11393700
114,115,610000,38000,12003700
115,116,648000,38000,12651700
116,117,686000,38000,13337700
117,118,724000,38000,14061700
118,119,762000,38000,14823700
119,120,800000,38000,15623700
120,121,850000,50000,16473700
121,122,900000,50000,17373700
122,123,950000,50000,18323700
123,124,1000000,50000,19323700
124,125,1050000,50000,20373700
125,126,1100000,50000,21473700
126,127,1150000,50000,22623700
127,128,1200000,50000,23823700
128,129,1250000,50000,25073700
129,130,1300000,50000,26373700
130,131,1400000,100000,27773700
131,132,1500000,100000,29273700
132,133,1600000,100000,30873700
133,134,1700000,100000,32573700
134,135,1800000,100000,34373700
135,136,1900000,100000,36273700
136,137,2000000,100000,38273700
137,138,2100000,100000,40373700
138,139,2200000,100000,42573700
