Level,Step,Substep,Cost level
1,0,,20
1,1,1,600
1,1,2,600
1,1,3,600
1,1,4,600
1,1,5,600
1,1,6,600
1,1,7,600
1,1,8,600
1,1,9,600
1,1,10,600
1,2,1,700
1,2,2,700
1,2,3,700
1,2,4,700
1,2,5,700
1,2,6,700
1,2,7,700
1,2,8,700
1,2,9,700
1,2,10,700
1,3,1,800
1,3,2,800
1,3,3,800
1,3,4,800
1,3,5,800
1,3,6,800
1,3,7,800
1,3,8,800
1,3,9,800
1,3,10,800
1,4,1,900
1,4,2,900
1,4,3,900
1,4,4,900
1,4,5,900
1,4,6,900
1,4,7,900
1,4,8,900
1,4,9,900
1,4,10,900
2,0,,40
2,1,1,900
2,1,2,900
2,1,3,900
2,1,4,900
2,1,5,900
2,1,6,900
2,1,7,900
2,1,8,900
2,1,9,900
2,1,10,900
2,2,1,900
2,2,2,900
2,2,3,900
2,2,4,900
2,2,5,900
2,2,6,900
2,2,7,900
2,2,8,900
2,2,9,900
2,2,10,900
2,3,1,1000
2,3,2,1000
2,3,3,1000
2,3,4,1000
2,3,5,1000
2,3,6,1000
2,3,7,1000
2,3,8,1000
2,3,9,1000
2,3,10,1000
2,4,1,1000
2,4,2,1000
2,4,3,1000
2,4,4,1000
2,4,5,1000
2,4,6,1000
2,4,7,1000
2,4,8,1000
2,4,9,1000
2,4,10,1000
2,5,1,1100
2,5,2,1100
2,5,3,1100
2,5,4,1100
2,5,5,1100
2,5,6,1100
2,5,7,1100
2,5,8,1100
2,5,9,1100
2,5,10,1100
2,6,1,1100
2,6,2,1100
2,6,3,1100
2,6,4,1100
2,6,5,1100
2,6,6,1100
2,6,7,1100
2,6,8,1100
2,6,9,1100
2,6,10,1100
3,0,,80
3,1,1,1200
3,1,2,1200
3,1,3,1200
3,1,4,1200
3,1,5,1200
3,1,6,1200
3,1,7,1200
3,1,8,1200
3,1,9,1200
3,1,10,1200
3,2,1,1300
3,2,2,1300
3,2,3,1300
3,2,4,1300
3,2,5,1300
3,2,6,1300
3,2,7,1300
3,2,8,1300
3,2,9,1300
3,2,10,1300
3,3,1,1400
3,3,2,1400
3,3,3,1400
3,3,4,1400
3,3,5,1400
3,3,6,1400
3,3,7,1400
3,3,8,1400
3,3,9,1400
3,3,10,1400
3,4,1,1500
3,4,2,1500
3,4,3,1500
3,4,4,1500
3,4,5,1500
3,4,6,1500
3,4,7,1500
3,4,8,1500
3,4,9,1500
3,4,10,1500
3,5,1,1700
3,5,2,1700
3,5,3,1700
3,5,4,1700
3,5,5,1700
3,5,6,1700
3,5,7,1700
3,5,8,1700
3,5,9,1700
3,5,10,1700
3,6,1,1900
3,6,2,1900
3,6,3,1900
3,6,4,1900
3,6,5,1900
3,6,6,1900
3,6,7,1900
3,6,8,1900
3,6,9,1900
3,6,10,1900
4,0,,160
4,1,1,2200
4,1,2,2200
4,1,3,2200
4,1,4,2200
4,1,5,2200
4,1,6,2200
4,1,7,2200
4,1,8,2200
4,1,9,2200
4,1,10,2200
4,2,1,2600
4,2,2,2600
4,2,3,2600
4,2,4,2600
4,2,5,2600
4,2,6,2600
4,2,7,2600
4,2,8,2600
4,2,9,2600
4,2,10,2600
4,3,1,3000
4,3,2,3000
4,3,3,3000
4,3,4,3000
4,3,5,3000
4,3,6,3000
4,3,7,3000
4,3,8,3000
4,3,9,3000
4,3,10,3000
4,4,1,3800
4,4,2,3800
4,4,3,3800
4,4,4,3800
4,4,5,3800
4,4,6,3800
4,4,7,3800
4,4,8,3800
4,4,9,3800
4,4,10,3800
4,5,1,4600
4,5,2,4600
4,5,3,4600
4,5,4,4600
4,5,5,4600
4,5,6,4600
4,5,7,4600
4,5,8,4600
4,5,9,4600
4,5,10,4600
4,6,1,5800
4,6,2,5800
4,6,3,5800
4,6,4,5800
4,6,5,5800
4,6,6,5800
4,6,7,5800
4,6,8,5800
4,6,9,5800
4,6,10,5800
